Id;CategoryName;Left;Right;
1;Men;1;100000;
2;Tøj;2;10001;
3;T-shirts & poloer;3;102;
4;T-shirts;4;5;
5;Polotrøjer;6;7;
6;Langærmede t-shirts;8;9;
7;Tanktops;10;11;
8;Spillertrøjer;12;13;
9;Træningstrøjer;14;15;
10;Skjorter;103;202;
11;Langærmede skjorter;104;105;
12;Kortærmede skjorter;106;107;
13;Sweatere & Hoodies;203;302;
14;Hættetrøjer;204;205;
15;Sweatshirts;206;207;
16;Sweatjakker;208;209;
17;Fleecetrøjer;110;111;
18;Strik;303;402;
19;Striktrøjer & -cardigans;304;305;
20;Striktrøjer;306;307;
21;Jakker;403;502;
22;Lette jakker;404;405;
23;Læderjakker;406;407;
24;Denimjakker;408;409;
25;Vinterjakker;410;411;
26;Dunjakker;412;413;
27;Outdoor jakker;414;415;
28;Fleecejakker;416;417;
29;Veste;418;419;
30;Frakker;503;602;
31;Trenchcoats;504;505;
32;Parkas;506;507;
33;Korte frakker;508;509;
34;Vinterfrakker;510;511;
35;Uldfrakker;512;513;
36;Dunfrakker;514;515;
37;Habitter;603;702;
38;Jakkesæt;604;605;
39;Habitjakker;606;607;
40;Habitbukser;608;609;
41;Habitveste;610;611;
42;Blazere;612;613;
43;Jeans;703;802;
44;Skinny;704;705;
45;Slim fit;706;707;
46;Straigh leg;708;709;
47;Tapered fit;710;711;
48;Relaxed & loose fit;712;713;
49;Boot cut;714;715;
50;Denimshorts;716;717;
51;Bukser;803;902;
52;Chinos;804;805;
53;Stofbukser;806;807;
54;Cargobukser;808;809;
55;Træningsbukser;810;811;
56;Kedeldragter;812;813;
57;Joggingbukser;814;815;
58;Shorts;903;1002;
59;Casual Shorts;904;905;
60;Denim Shorts;906;907;
61;Træningsshorts;908;909;
62;Undertøj & Sokker;1003;1102;
63;Underbukser;1004;1005;
64;Undertrøjer;1006;1007;
65;Strømper;1008;1009;
66;Badekåber;1010;1011;
67;Undertøj;1012;1013;
68;Badetøj;1103;1202;
69;Sko;10002;20001;
70;Sneakers;10003;10102;
71;Lifestyle Trainers;10004;10005;
72;High Top Sneakers;10006;10007;
73;Skatersko;10008;10009;
74;Snøresko;10103;10202;
75;Elegante snøresko;10104;10105;
76;Sportslige snøresko;10106;10107;
77;Sejlersko;10108;10109;
78;Vintersko;10110;10111;
79;Lave sko;10203;10302;
80;Loafers;10204;10205;
81;Mokassiner;10206;10207;
82;Espadrillos;10208;10209;
83;Business sko;10303;10402;
84;Sandaler;10403;10502;
85;Klassiske sandaler;10404;10405;
86;Smutters;10406;10407;
87;Klip klapper;10408;10409;
88;Clogs & træsko;10410;10411;
89;Badesko;10412;10413;
90;Støvler;10503;10602;
91;Snørestøvler;10504;10505;
92;Lave støvler;10506;10507;
93;Cowboy- & bikerstøvler;10508;10509;
94;Gummistøvler;10510;10511;
95;Vinterstøvler;10512;10513;
96;Fodboldstøvler;10514;10515;
97;Hjemmesko;10603;10702;
98;Sportssko;10703;10802;
99;Træningssko;10704;10705;
100;Løbesko;10706;10707;
101;Andre Sportssko;10708;10709;
102;Women;100001;200000;
103;Tøj;100002;110001;
104;Kjoler;100003;100102;
105;Hverdagskjoler;100004;100005;
106;Festkjoler;100006;100007;
107;Selskabskjoler;100008;100009;
108;Skjortekjoler;100010;100011;
109;Jerseykjoler;100012;100013;
110;Stramme kjoler;100014;100015;
111;Maxikjoler;100016;100017;
112;Denimkjoler;100018;100019;
113;Strikkjoler;100020;100021;
114;Dirndl kjoler;100022;100023;
115;T-shirts & toppe;100103;100202;
116;T-shirts;100104;100105;
117;Toppe;100106;100107;
118;Polotrøjer;100108;100109;
119;Langærmede;100110;100111;
120;Spillertrøjer;100112;100113;
121;Skjorter & bluser;100203;100302;
122;Skjortebluser;100204;100205;
123;Bluser;100206;100207;
124;Tunikaer;100208;100209;
125;Strik & cardigans;100303;100402;
126;Strik & cardigans;100304;100305;
127;Striktrøjer;100306;100307;
128;Sweatshirts & hættetrøjer;100403;100502;
129;Sweatshirts;100404;100405;
130;Hættetrøjer;100406;100407;
131;Sweatjakker;100408;100409;
132;Fleecejakker & -trøjer;100410;100411;
133;Jakker & blazere;100503;100602;
134;Lette jakker;100504;100505;
135;Regnjakker;100506;100507;
136;Læderjakker;100508;100509;
137;Denimjakker;100510;100511;
138;Blazere;100512;100513;
139;Kapper;100514;100515;
140;Veste;100516;100517;
141;Outdoor jakker;100518;100519;
142;Træningstrøjer;100520;100521;
143;Vinterjakker;100522;100523;
144;Dunjakker;100524;100525;
145;Bomberjakker;100526;100527;
146;Frakker;100603;100702;
147;Parkas;100604;100605;
148;Trenchcoats;100606;100607;
149;Korte frakker;100608;100609;
150;Klassiske frakker;100610;100611;
151;Vinterfrakker;100612;100613;
152;Dunfrakker;100614;100615;
153;Jeans;100703;100802;
154;Skinny;100704;100705;
155;Slim;100706;100707;
156;Straigh leg;100708;100709;
157;Relaxed fit;100710;100711;
158;Bootcut & svaj;100712;100713;
159;Mom jeans;100714;100715;
160;Denimshorts;100716;100717;
161;Bukser;100803;100902;
162;Chinos;100804;100805;
163;Stofbukser;100806;100807;
164;Leggings;100808;100809;
165;Læderbukser;100810;100811;
166;Cargobukser;100812;100813;
167;Overalls & Dungarees;100814;100815;
168;Træningsbukser;100816;100817;
169;Shorts;100903;101002;
170;Buksedragter;101003;101102;
171;Nederdele;101103;101202;
172;Denimnederdele;101104;101105;
173;Maxinederdele;101106;101107;
174;Plisserede nederdele;101108;101109;
175;A-formede nederdele;101110;101111;
176;Korte nederdele;101112;101113;
177;Midi-nederdele;101114;101115;
178;Lædernederdele;101116;101117;
179;Slå-om-nederdele;101118;101119;
180;Undertøj;101203;101302;
181;BH'er;101204;101205;
182;Underdele;101206;101207;
183;Bodies & sæt;101208;101209;
184;Undertrøjer;101210;101211;
185;Shapewear;101212;101213;
186;Sports-bh'er;101214;101215;
187;Nattøj & Loungewear;101303;101402;
188;Natkjoler;101304;101305;
189;Pyjamas;101306;101307;
190;Nattrøjer;101308;101309;
191;Natbukser;101310;101311;
192;Badekåber;101312;101313;
193;Strømper & Tights;101403;101502;
194;Strømpebukser;101404;101405;
195;Leggings;101406;101407;
196;Sokker;101408;101409;
197;Sportssokker;101410;101411;
198;Knæstrømper;101412;101413;
199;Selvsidende strømper;101414;101415;
200;Tights;101416;101417;
201;Strømper;101418;101419;
202;Badetøj;101503;101602;
203;Bikinier;101504;101505;
204;Badedragter;101506;101507;
205;Sko;110002;120001;
206;Sneakers;110003;110102;
207;Lifestyle Trainers;110004;110005;
208;High Top Sneakers;110006;110007;
209;Vintersko;110008;110009;
210;Støvletter;110103;110202;
211;Ankelstøvler;110104;110105;
212;Støvletter med snøre;110106;110107;
213;Cowboy- & bikerstøvletter;110108;110109;
214;Plateaustrøvletter;110110;110111;
215;Støvletter med kilehæl;110112;110113;
216;Støvler;110203;110302;
217;Klassiske støvler;110204;110205;
218;Vinterstøvler;110206;110207;
219;Snørestøvler;110208;110209;
220;Cowboy- & bikerstøvler;110210;110211;
221;Overknees;110212;110213;
222;Plateaustrøvler;110214;110215;
223;Højhælede støvler;110216;110217;
224;Gummistøvler;110218;110219;
225;Fodboldstøvler;110220;110221;
226;Sandaler;110303;110402;
227;Sandlaler med rem;110304;110305;
228;Sandaler med kilehæl;110306;110307;
229;Klip klapper;110308;110309;
230;Plateausandaler;110310;110311;
231;Højhælede;110403;110502;
232;Pumps;110404;110405;
233;Peep toes;110406;110407;
234;Sandaler;110408;110409;
235;Pumps;110503;110602;
236;Klassiske pumps;110504;110505;
237;Peep toes;110506;110507;
238;Pumps med kilehæl;110508;110509;
