Id;CategoryName;Left;Right
1;Men;1;100000
2;Tøj;2;10001
3;T-shirts & poloer;3;102
4;T-shirts;4;5
5;Poloer;6;7
6;Langærmede t-shirts;8;9
7;Tanktops;10;11
8;Skjorter;103;202
9;Langærmede skjorter;104;105
10;Kortærmede skjorter;106;107
11;Sweatere & Hoodies;203;302
12;Hættetrøjer;204;205
13;Sweatshirts;206;207
14;Sweatjakker;208;209
15;Fleecetrøjer;110;111
16;Strik;303;402
17;Striktrøjer & -cardigans;304;305
18;Striktrøjer;306;307
19;Jakker;403;502
20;Lette jakker;404;405
21;Læderjakker;406;407
22;Denimjakker;408;409
23;Vinterjakker;410;411
24;Dunjakker;412;413
25;Outdoor jakker;414;415
26;Fleecejakker;416;417
27;Veste;418;419
28;Frakker;503;602
29;Trenchcoats;504;505
30;Parkas;506;507
31;Korte frakker;508;509
32;Vinterfrakker;510;511
33;Uldfrakker;512;513
34;Dunfrakker;514;515
35;Habitter;603;702
36;Jakkesæt;604;605
37;Habitjakker;606;607
38;Habitbukser;608;609
39;Habitveste;610;611
40;Blazere;612;613
41;Jeans;703;802
42;Skinny;704;705
43;Slim fit;706;707
44;Straigh leg;708;709
45;Tapered fit;710;711
46;Relaxed & loose fit;712;713
47;Boot cut;714;715
48;Denimshorts;716;717
49;Bukser;803;902
50;Chinos;804;805
51;Stofbukser;806;807
52;Cargobukser;808;809
53;Træningsbukser;810;811
54;Kedeldragter;812;813
55;Shorts;903;1002
56;Casual Shorts;904;905
57;Denim Shorts;906;907
58;Træningsshorts;908;909
59;Undertøj & Sokker;1003;11002
60;Underbukser;1004;1005
61;Undertrøjer;1006;1007
62;Strømper;1008;1009
63;Badekåber;1010;1011
64;Sko;10002;20001
65;Sneakers;10003;10102
66;Sneakers low;10004;10005
67;Sneakers high;10006;10007
68;Skatersko;10008;10009
69;Snøresko;10103;10202
70;Elegante snøresko;10104;10105
71;Sportslige snøresko;10106;10107
72;Sejlersko;10108;10109
73;Lave sko;10203;10302
74;Loafers;10204;10205
75;Mokassiner;10206;10207
76;Espadrillos;10208;10209
77;Business sko;10303;10402
78;Sandaler;10403;10502
79;Klassiske sandaler;10404;10405
80;Smutters;10406;10407
81;Klip klapper;10408;10409
82;Clogs & træsko;10410;10411
83;Badesko;10412;10413
84;Støvler;10503;10602
85;Snørestøvler;10504;10505
86;Lave støvler;10506;10507
87;Cowboy- & bikerstøvler;10508;10509
88;Gummistøvler;10510;10511
89;Vinterstøvler;10512;10513
90;Hjemmesko;10603;10702
91;Women;100001;200000
92;Tøj;100002;110001
93;Kjoler;100003;100102
94;Hverdagskjoler;100004;100005
95;Festkjoler;100006;100007
96;Selskabskjoler;100008;100009
97;Skjortekjoler;100010;100011
98;Jerseykjoler;100012;100013
99;Stramme kjoler;100014;100015
100;Maxikjoler;100016;100017
101;Denimkjoler;100018;100019
102;Strikkjoler;100020;100021
103;Dirndl kjoler;100022;100023
104;T-shirts & toppe;100103;100202
105;T-shirts;100104;100105
106;Toppe;100106;100107
107;Poloshirts;100108;100109
108;Langærmede;100110;100111
109;Skjorter & bluser;100203;100302
110;Skjortebluser;100204;100205
111;Bluser;100206;100207
112;Tunikaer;100208;100209
113;Strik & cardigans;100303;100402
114;Strik & cardigans;100304;100305
115;Striktrøjer;100306;100307
116;Sweatshirts & hættetrøjer;100403;100502
117;Sweatshirts;100404;100405
118;Hættetrøjer;100406;100407
119;Sweatjakker;100408;100409
120;Fleecejakker & -trøjer;100410;100411
121;Jakker & blazere;100503;100602
122;Lette jakker;100504;100505
123;Regnjakker;100506;100507
124;Læderjakker;100508;100509
125;Denimjakker;100510;100511
126;Blazere;100512;100513
127;Kapper;100514;100515
128;Veste;100516;100517
129;Outdoor jakker;100518;100519
130;Træningstrøjer;100520;100521
131;Vinterjakker;100522;100523
132;Dunjakker;100524;100525
133;Bomberjakker;100526;100527
134;Frakker;100603;100702
135;Parkas;100604;100605
136;Trenchcoats;100606;100607
137;Korte frakker;100608;100609
138;Klassiske frakker;100610;100611
139;Vinterfrakker;100612;100613
140;Dunfrakker;100614;100615
141;Jeans;100703;100802
142;Skinny;100704;100705
143;Slim;100706;100707
144;Straigh leg;100708;100709
145;Relaxed fit;100710;100711
146;Bootcut & svaj;100712;100713
147;Mom jeans;100714;100715
148;Denimshorts;100716;100717
149;Bukser;100803;100902
150;Chinos;100804;100805
151;Stofbukser;100806;100807
152;Leggings;100808;100809
153;Læderbukser;100810;100811
154;Cargobukser;100812;100813
155;Overalls & Dungarees;100814;100815
156;Træningsbukser;100816;100817
157;Shorts;100903;101002
158;Buksedragter;101003;101102
159;Nederdele;101103;101202
160;Denimnederdele;101104;101105
161;Maxinederdele;101106;101107
162;Plisserede nederdele;101108;101109
163;A-formede nederdele;101110;101111
164;Korte nederdele;101112;101113
165;Midi-nederdele;101114;101115
166;Lædernederdele;101116;101117
167;Slå-om-nederdele;101118;101119
168;Undertøj;101203;101302
169;BH'er;101204;101205
170;Underdele;101206;101207
171;Bodies & sæt;101208;101209
172;Undertrøjer;101210;101211
173;Shapewear;101212;101213
174;Nattøj & Loungewear;101303;101402
175;Natkjoler;101304;101305
176;Pyjamas;101306;101307
177;Nattrøjer;101308;101309
178;Natbukser;101310;101311
179;Badekåber;101312;101313
180;Strømper & Tights;101403;101502
181;Strømpebukser;101404;101405
182;Leggings;101406;101407
183;Sokker;101408;101409
184;Sportssokker;101410;101411
185;Knæstrømper;101412;101413
186;Selvsidende strømper;101414;101415
187;Badetøj;101503;101602
188;Bikinier;101504;101505
189;Badedragter;101506;101507
190;Sko;110002;120001
191;Sneakers;110003;110102
192;Sneakers low;110004;110005
193;Sneakers high;110006;110007
194;Støvletter;110103;110202
195;Ankelstøvler;110104;110105
196;Støvletter med snøre;110106;110107
197;Cowboy- & bikerstøvletter;110108;110109
198;Plateaustrøvletter;110110;110111
199;Støvletter med kilehæl;110112;110113
200;Støvler;110203;110302
201;Klassiske støvler;110204;110205
202;Vinterstøvler;110206;110207
203;Snørestøvler;110208;110209
204;Cowboy- & bikerstøvler;110210;110211
205;Overknees;110212;110213
206;Plateaustrøvler;110214;110215
207;Højhælede støvler;110216;110217
208;Gummistøvler;110218;110219
209;Sandaler;110303;110402
210;Sandlaler med rem;110304;110305
211;Sandaler med kilehæl;110306;110307
212;Klip klapper;110308;110309
213;Plateausandaler;110310;110311
214;Højhælede;110403;110502
215;Pumps;110404;110405
216;Peep toes;110406;110407
217;Sandaler;110408;110409
218;Pumps;110503;110602
219;Klassiske pumps;110504;110505
220;Peep toes;110506;110507
221;Pumps med kilehæl;110508;110509
222;Plateaupumps;110510;110511
223;Pumps med snøre;110512;110513
224;Brudesko;110603;110702
225;Fladesko;110703;110802
226;Loafers;110704;110705
227;Espadrillos;110706;110707
228;Snøresko;110708;110709
229;Mokassiner;110710;110711
230;Ballerinaer;110803;110902
231;Klassiske ballerinaer;110804;110805
232;Ballerinaer med rem;110806;110807
233;Sling ballerinaer;110808;110809
234;Mules & clogs;110903;111002
235;Flade slip-ins;110904;110905
236;Slip-ins med hæl;110906;110907
237;Clogs & træsko;110908;110909
238;Hjemmesko;111003;111102
239;Badesko;111103;111202
240;Klip klapper;111104;111105
241;Badesandaler;111106;111107
242;Kids;200001;300000
243;Tøj;200002;210001
244;T-shirts & poloer;200003;200102
245;T-shirts;200004;200005
246;Toppe;200006;200007
247;Poloshirts;200008;200009
248;Langærmede t-shirts;200010;200011
249;Bluser & tunikaer;200012;200013
250;Skjorter;200014;200015
251;Overtøj;200103;200202
252;Jakker;200104;200105
253;Frakker;200106;200107
