Id;SizeName;SizeType
1;OneSize;0
2;36;1
3;36 ½;1
4;37;1
5;37 ½;1
6;38;1
7;38 ½;1
8;39;1
9;39 ½;1
10;40;1
11;40 ½;1
12;41;1
13;41 ½;1
14;42;1
15;42 ½;1
16;43;1
17;43 ½;1
18;44;1
19;44 ½;1
20;45;1
21;45 ½;1
22;46;1
23;46 ½;1
24;47;1
25;47 ½;1
26;48;1
27;48 ½;1
28;49;1
29;49 ½;1
30;50;1
31;50 ½;1
32;51;1
33;51 ½;1
34;52;1
35;S;2
36;M;2
37;L;2
38;XL;2
39;XXL;2
40;XXXL;2
41;S;3
42;M;3
43;L;3
44;XL;3
45;XXL;3
46;XXXL;3
47;27/30;4
48;27/32;4
49;28/30;4
50;28/32;4
51;29/30;4
52;29/32;4
53;30/30;4
54;30/32;4
55;30/34;4
56;31/30;4
57;31/32;4
58;31/34;4
59;32/30;4
60;32/32;4
61;32/34;4
62;32/36;4
63;33/30;4
64;33/32;4
65;33/34;4
66;33/36;4
67;34/30;4
68;34/32;4
69;34/34;4
70;34/36;4
71;36/30;4
72;36/32;4
73;36/34;4
74;36/36;4
75;38/30;4
76;38/34;4
77;38/36;4
78;S;5
79;M;5
80;L;5
81;XL;5
82;XXL;5
83;XXXL;5
84;85/S;6
85;90/(S/M);6
86;95/M;6
87;100/L;6
88;105/L;6
89;110/XL;6
90;115/XL;6
91;120/XXL;6
